acquisition_date,product_name,cdse_product_id,online_status,mission_platform_prefix,product_storage_type,candidate_role,query_profile,source_url,blocker_note
2024-09-05T03:45:39.024000Z,S2B_MSIL2A_20240905T034539_N0511_R104_T47QNC_20240905T080012.SAFE,4f09f5d1-6895-43f7-a2dd-5143f5c4c123,True,S2B,SAFE,pre-event optical context candidate,mae_sai_2024_sentinel2,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-2'+and+contains(Name,'MSIL2A')+and+ContentDate/Start+ge+2024-09-01T00:00:00.000Z+and+ContentDate/Start+le+2024-09-25T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(99.88+20.43)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Sentinel-2 is open optical context and feature input only, not a flood reference mask"
2024-09-10T03:45:31.024000Z,S2A_MSIL2A_20240910T034531_N0511_R104_T47QNC_20240910T091456.SAFE,f11d94e0-62b7-4c15-8785-e707d006bc1e,True,S2A,SAFE,post-event optical context candidate,mae_sai_2024_sentinel2,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-2'+and+contains(Name,'MSIL2A')+and+ContentDate/Start+ge+2024-09-01T00:00:00.000Z+and+ContentDate/Start+le+2024-09-25T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(99.88+20.43)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Sentinel-2 is open optical context and feature input only, not a flood reference mask"
2024-09-15T03:45:29.024000Z,S2B_MSIL2A_20240915T034529_N0511_R104_T47QNC_20240915T065143.SAFE,f1a638d2-3b8f-4f9a-a862-1b651d6662c3,True,S2B,SAFE,post-event optical context candidate,mae_sai_2024_sentinel2,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-2'+and+contains(Name,'MSIL2A')+and+ContentDate/Start+ge+2024-09-01T00:00:00.000Z+and+ContentDate/Start+le+2024-09-25T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(99.88+20.43)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Sentinel-2 is open optical context and feature input only, not a flood reference mask"
2024-09-20T03:45:31.024000Z,S2A_MSIL2A_20240920T034531_N0511_R104_T47QNC_20240920T072151.SAFE,7a49e6a2-635c-43ba-a5e7-2a21ae9dfc54,True,S2A,SAFE,fallback post-event optical context candidate,mae_sai_2024_sentinel2,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-2'+and+contains(Name,'MSIL2A')+and+ContentDate/Start+ge+2024-09-01T00:00:00.000Z+and+ContentDate/Start+le+2024-09-25T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(99.88+20.43)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Sentinel-2 is open optical context and feature input only, not a flood reference mask"
2024-09-25T03:45:29.024000Z,S2B_MSIL2A_20240925T034529_N0511_R104_T47QNC_20240925T070331.SAFE,8cf61b71-659a-4e46-804e-2790cf606366,True,S2B,SAFE,fallback post-event optical context candidate,mae_sai_2024_sentinel2,"https://catalogue.dataspace.copernicus.eu/odata/v1/Products?$filter=Collection/Name+eq+'SENTINEL-2'+and+contains(Name,'MSIL2A')+and+ContentDate/Start+ge+2024-09-01T00:00:00.000Z+and+ContentDate/Start+le+2024-09-25T23:59:59.999Z+and+OData.CSC.Intersects(area=geography'SRID=4326;POINT(99.88+20.43)')&$orderby=ContentDate/Start+asc&$top=50","download not performed; Sentinel-2 is open optical context and feature input only, not a flood reference mask"
