subdistrict_id,subdistrict_name,total_population,total_vulnerable_population,total_non_vulnerable_population,people_losing_15_min_access,vulnerable_population_losing_15_min_access,non_vulnerable_population_losing_15_min_access,people_losing_30_min_access,vulnerable_population_losing_30_min_access,non_vulnerable_population_losing_30_min_access,people_losing_60_min_access,vulnerable_population_losing_60_min_access,non_vulnerable_population_losing_60_min_access,confidence_class,source_timestamp,vulnerability_definition,assumptions
TH570901,Mae Sai,17893.062,54.947,17838.114999999998,295.57599999999996,0.0,295.57599999999996,73.62100000000001,0.0,73.62100000000001,73.62100000000001,0.0,73.62100000000001,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570902,Huai Khrai,8911.490999999998,1712.617,7198.875,593.2869999999999,5.807,587.4799999999999,0.0,0.0,0.0,0.0,0.0,0.0,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570903,Ko Chang,6708.3859999999995,24.545,6683.84,5403.82,10.120000000000001,5393.700000000001,5794.158,23.091,5771.066,3390.468,15.434000000000001,3375.033,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570904,Pong Pha,9311.575,781.885,8529.69,153.01299999999992,13.005,140.00899999999996,16.65,0.0,16.65,0.0,0.0,0.0,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570905,Si Mueang Chum,7157.034,4.652,7152.384,6470.437,4.652,6465.787,5178.339,4.652,5173.689,1886.536,0.0,1886.536,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570906,Wiang Phang Kham,19532.073,3321.794,16210.276000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570908,Ban Dai,5036.136,87.78800000000001,4948.348,1778.5040000000001,32.019999999999996,1746.4840000000002,50.845,17.869999999999997,32.974000000000004,0.901,0.0,0.901,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
TH570909,Pong Ngam,7248.753,1163.402,6085.351000000001,386.129,236.24200000000002,149.882,0.0,0.0,0.0,0.0,0.0,0.0,low,2024-09-15T23:16:01Z,terrain/remoteness proxy: WorldPop cell is proxy-vulnerable when sampled slope is at least 8 degrees or nearest drivable OSM road is at least 750 m away; this is not demographic vulnerability,"Candidate OSM routing with heuristic Sentinel-1 road disruption. OSM shelters/facilities are unverified candidates, not official emergency sites."
