source_name,file_name,local_path_hint,entry_kind,category,file_size_bytes,file_size_gb,acquisition_date,acquisition_time_utc,source_timestamp,processing_level,sensor_product,tile_id,sequence_id,image_width,image_height,samples_per_pixel,bits_per_sample,pixel_size_m,crs_hint,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max,mvp_overlap,floodguard_relevance,license_status,checksum_algorithm,sha256,sha256_status,processing_scope,reference_mask_status,processing_allowed,preview_path,assumptions,reason_blocked
THEOS-2 hackathon sample imagery,IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,<input_dir>/IMG_T2V_20250730033331_ORTHO_PMS_32-004.tif,image_tiff,Disaster,8095939271,8.096,20250730,033331,2025-07-30T03:33:31Z,ORTHO,PMS,32,004,31708,31812,4,16|16|16|16,0.5,WGS84 / UTM Zone 47N,99.734272,16.961463,99.883844,17.104638,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,user_reported_hackathon_free_use,sha256,1d18c3091f57c784be34216585a1ba22d055471ef5c1ec434c57971c55112134,recorded,theos2_optical_context_preview_only,not_reference_mask,True,theos2_previews/theos2_preview_IMG_T2V_20250730033331_ORTHO_PMS_32-004.svg,Non-operational THEOS-2 optical context only; not flood validation; source imagery remains outside Git,
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-001.tif,image_tiff,Disaster|LULC,6666381256,6.666,20250731,035100,2025-07-31T03:51:00Z,ORTHO,PMS,32,001,28580,29040,4,16|16|16|16,0.5,WGS84 / UTM Zone 47N,100.675272,18.447708,100.81192,18.577633,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,user_reported_hackathon_free_use,sha256,89caf5946e6b25ef855dc95892bfeb4e45b7a67dfce7539465d8a9a0dc1961b5,recorded,theos2_optical_context_preview_only,not_reference_mask,True,theos2_previews/theos2_preview_IMG_T2V_20250731035100_ORTHO_PMS_32-001.svg,Non-operational THEOS-2 optical context only; not flood validation; source imagery remains outside Git,
THEOS-2 hackathon sample imagery,IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,<input_dir>/IMG_T2V_20250731035100_ORTHO_PMS_32-003.tif,image_tiff,Disaster|LULC,6695093025,6.695,20250731,035100,2025-07-31T03:51:00Z,ORTHO,PMS,32,003,28508,29240,4,16|16|16|16,0.5,WGS84 / UTM Zone 47N,100.692074,18.521791,100.828467,18.652603,none_of_current_mvp_points,THEOS-2 disaster sample; useful for optical context and future optical-water experiments,user_reported_hackathon_free_use,sha256,b8dc72dd30f2149c9f4e76c083403c92b25d8a90e7353d58bdc1131ba867b74d,recorded,theos2_optical_context_preview_only,not_reference_mask,True,theos2_previews/theos2_preview_IMG_T2V_20250731035100_ORTHO_PMS_32-003.svg,Non-operational THEOS-2 optical context only; not flood validation; source imagery remains outside Git,
