subdistrict_id,subdistrict_name,subdistrict_name_th,mean_flood_probability_0_1,p90_flood_probability_0_1,binary_flood_share_0_1,flood_likelihood_0_100,exposure_0_100,access_gap_0_100,road_criticality_0_100,vulnerability_context_0_100,total_population,expected_exposed_population_proxy,people_losing_15_min_access,people_losing_30_min_access,people_losing_60_min_access,equity_gap_ratio,road_count,bridge_count,facility_count,mean_elevation_m,mean_slope_degrees,worldpop_bbox_coverage_rate,road_snap_population_coverage_rate,dem_population_coverage_rate,confidence_class,source_name,source_timestamp,assumptions,processing_scope,reference_status,context_status
TH570901,Mae Sai,แม่สาย,0.073376,0.287046,0.040026,7.34,94.59,0.0,20.11,0.31,17893.07,1312.9219043199998,960.018,0.0,0.0,1.0,818,55,5,393.32,1.79,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570902,Huai Khrai,ห้วยไคร้,0.043544,0.15265,0.02515,4.35,27.96,0.0,12.73,19.22,8911.488,388.04183347199995,718.0169999999999,0.0,0.0,1.0,335,1,13,452.75,5.72,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570903,Ko Chang,เกาะช้าง,0.088894,0.396515,0.073088,8.89,42.96,2.83,20.74,0.37,6708.402,596.336687388,4377.993,189.949,0.0,2.018,451,5,0,379.12,1.2,0.9752,1.0,0.8193,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570904,Pong Pha,โป่งผา,0.059127,0.188387,0.046801,5.91,39.67,0.0,14.41,8.4,9311.573,550.565376771,74.812,0.0,0.0,1.0,937,5,6,402.07,3.32,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570905,Si Mueang Chum,ศรีเมืองชุม,0.072524,0.33119,0.057287,7.25,37.4,0.0,18.52,0.06,7157.008,519.054848192,363.62999999999994,0.0,0.0,1.0,374,23,4,376.66,1.01,1.0,1.0,0.9455,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570906,Wiang Phang Kham,เวียงพางคำ,0.071061,0.266657,0.055239,7.11,100.0,0.0,19.39,17.01,19532.08,1387.9691368800002,0.0,0.0,0.0,1.0,984,21,5,420.96,5.35,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570908,Ban Dai,บ้านด้าย,0.043197,0.130079,0.029212,4.32,15.67,0.0,11.45,1.74,5036.143,217.546269171,852.439,0.0,0.0,1.0,151,2,2,378.16,0.91,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570909,Pong Ngam,โป่งงาม,0.067248,0.273039,0.053696,6.72,35.12,0.0,19.14,16.05,7248.738,487.46313302400006,616.7730000000001,0.0,0.0,1.0,408,9,7,430.52,5.61,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
