edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016575,546930277,N-99.8984213-20.3590214,N-99.8978648-20.3591470,0.143212,0.206226,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016576,546930278,N-99.8892750-20.3823359,N-99.8890821-20.3817570,0.161851,0.233065,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016577,546930279,N-99.8966925-20.3603056,N-99.8964983-20.3600607,0.081438,0.117271,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016578,546930279,N-99.8964983-20.3600607,N-99.8964581-20.3599953,0.020144,0.029007,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016579,546930279,N-99.8964581-20.3599953,N-99.8964407-20.3599538,0.0119,0.017136,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016580,546930279,N-99.8964407-20.3599538,N-99.8963998-20.3598325,0.03395,0.048888,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016581,546930279,N-99.8963998-20.3598325,N-99.8963568-20.3597155,0.033025,0.047556,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016582,546930279,N-99.8963568-20.3597155,N-99.8962978-20.3595967,0.034972,0.05036,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016583,546930279,N-99.8962978-20.3595967,N-99.8962434-20.3595054,0.027909,0.040189,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016584,546930280,N-99.9001716-20.3512349,N-99.8992426-20.3514683,0.240645,0.346529,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016585,546930282,N-99.8922692-20.3643354,N-99.8923183-20.3644776,0.039887,0.057438,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016586,546930282,N-99.8923183-20.3644776,N-99.8924748-20.3649460,0.13099,0.188625,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016587,546930284,N-99.8851245-20.3887938,N-99.8869638-20.3886997,0.460783,0.663528,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016588,546930284,N-99.8869638-20.3886997,N-99.8876504-20.3886728,0.171902,0.247539,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016589,546930284,N-99.8876504-20.3886728,N-99.8884652-20.3886645,0.203833,0.29352,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016590,546930284,N-99.8884652-20.3886645,N-99.8889833-20.3886593,0.12961,0.186638,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016591,546930284,N-99.8889833-20.3886593,N-99.8896161-20.3886728,0.158335,0.228003,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016592,546930284,N-99.8896161-20.3886728,N-99.8896900-20.3886642,0.018628,0.026824,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016593,546930284,N-99.8896900-20.3886642,N-99.8898495-20.3886369,0.040558,0.058404,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016594,546930284,N-99.8898495-20.3886369,N-99.8908318-20.3884786,0.249326,0.35903,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016595,546930284,N-99.8908318-20.3884786,N-99.8912656-20.3884228,0.109532,0.157726,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016596,546930284,N-99.8912656-20.3884228,N-99.8917506-20.3883615,0.12242,0.176285,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016597,546930287,N-99.8884414-20.3847698,N-99.8877535-20.3848967,0.175382,0.252551,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016598,546930287,N-99.8877535-20.3848967,N-99.8873567-20.3849699,0.101165,0.145678,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016599,546930287,N-99.8873567-20.3849699,N-99.8869923-20.3850371,0.092904,0.133781,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016600,546930287,N-99.8869923-20.3850371,N-99.8866176-20.3851063,0.095535,0.13757,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016601,546930287,N-99.8866176-20.3851063,N-99.8862435-20.3851753,0.095377,0.137343,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016602,546930287,N-99.8862435-20.3851753,N-99.8860377-20.3852132,0.052466,0.075551,0.11,candidate_open_with_delay,TH570904,False
