subdistrict_id,subdistrict_name,subdistrict_name_th,mean_flood_probability_0_1,p90_flood_probability_0_1,binary_flood_share_0_1,flood_likelihood_0_100,exposure_0_100,access_gap_0_100,road_criticality_0_100,vulnerability_context_0_100,total_population,expected_exposed_population_proxy,people_losing_15_min_access,people_losing_30_min_access,people_losing_60_min_access,equity_gap_ratio,road_count,bridge_count,facility_count,mean_elevation_m,mean_slope_degrees,worldpop_bbox_coverage_rate,road_snap_population_coverage_rate,dem_population_coverage_rate,confidence_class,source_name,source_timestamp,assumptions,processing_scope,reference_status,context_status
TH570901,Mae Sai,แม่สาย,0.042196,0.094283,0.029287,4.22,58.0,0.41,14.21,0.31,17893.07,755.0159817199999,295.57599999999996,73.62100000000001,73.62100000000001,0.0,818,55,5,393.32,1.79,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570902,Huai Khrai,ห้วยไคร้,0.013509,0.035767,0.000751,1.35,9.25,0.0,8.43,19.22,8911.488,120.385291392,593.2869999999999,0.0,0.0,1.0,335,1,13,452.75,5.72,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570903,Ko Chang,เกาะช้าง,0.193813,0.871168,0.183283,19.38,99.88,86.37,37.04,0.37,6708.402,1300.1755168260001,5403.82,5794.158,3390.468,1.09,451,5,0,379.12,1.2,0.9752,1.0,0.8193,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570904,Pong Pha,โป่งผา,0.059375,0.182687,0.039091,5.94,42.47,0.18,14.31,8.4,9311.573,552.8746468749999,153.01299999999992,16.65,0.0,0.0,937,5,6,402.07,3.32,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570905,Si Mueang Chum,ศรีเมืองชุม,0.181874,0.860569,0.16207,18.19,100.0,72.35,36.22,0.06,7157.008,1301.673672992,6470.437,5178.339,1886.536,1.382,374,23,4,376.66,1.01,1.0,1.0,0.9455,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570906,Wiang Phang Kham,เวียงพางคำ,0.01395,0.043411,0.000786,1.4,20.93,0.0,11.19,17.01,19532.08,272.47251600000004,0.0,0.0,0.0,1.0,984,21,5,420.96,5.35,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570908,Ban Dai,บ้านด้าย,0.106767,0.375821,0.081666,10.68,41.31,1.01,20.55,1.74,5036.143,537.693879681,1778.5040000000001,50.845,0.901,30.388,151,2,2,378.16,0.91,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
TH570909,Pong Ngam,โป่งงาม,0.04473,0.091631,0.030652,4.47,24.91,0.0,14.04,16.05,7248.738,324.23605074,386.129,0.0,0.0,1.0,408,9,7,430.52,5.61,1.0,1.0,1.0,low,CDSE Sentinel-1; HDX COD-AB; WorldPop 2020; OSM/Geofabrik; Copernicus DEM GLO-30,2024-09-15T23:16:01Z,Real open context joined at COD-AB ADM3 grain. Flood probability is a non-ML Sentinel-1 candidate calibrated only against a nearby cross-border manual weak reference. Exposure is a relative WorldPop probability proxy; road disruption and access loss are heuristic; vulnerability is a terrain/remoteness proxy. Non-operational and not official validation.,mae_sai_adm3_real_context_candidate,weak_reference_candidate_cross_border_calibration,real_open_context_joined_with_proxy_vulnerability
