subdistrict_id,subdistrict_name,mean_flood_probability_0_1,p90_flood_probability_0_1,binary_flood_share_0_1,mean_combined_sar_change_score,sample_pixel_count,source_timestamp,confidence_class,processing_scope,assumptions
TH570901,Mae Sai,0.042196,0.094283,0.029287,-0.427529,6146,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570902,Huai Khrai,0.013509,0.035767,0.000751,-0.101981,5328,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570903,Ko Chang,0.193813,0.871168,0.183283,0.762742,5336,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570904,Pong Pha,0.059375,0.182687,0.039091,0.142016,7393,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570905,Si Mueang Chum,0.181874,0.860569,0.16207,0.723126,6127,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570906,Wiang Phang Kham,0.01395,0.043411,0.000786,-0.078119,5087,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570908,Ban Dai,0.106767,0.375821,0.081666,0.293691,6196,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
TH570909,Pong Ngam,0.04473,0.091631,0.030652,0.054229,4600,2024-09-15T23:16:01Z,low,real_sentinel1_adm3_candidate_context,"Real CDSE Sentinel-1 pre/post change summarized inside COD-AB ADM3 geometry. The manual weak-reference mask is a nearby cross-border calibration candidate, not the aggregation geometry. Non-operational and not official validation."
