subdistrict_id,subdistrict_name,flood_likelihood_0_100,exposure_0_100,access_gap_0_100,road_criticality_0_100,vulnerability_context_0_100,fpps_0_100,action_class,top_reason,confidence_class,context_source,ai_flood_share,ai_susceptibility_mean,ai_exposed_building_count,population,density_per_km2,osm_building_count,osm_completeness_ratio,osm_completeness_flag,flood_anchor_version,exposure_anchor_version,source_name,source_timestamp,assumptions
570903,Ko Chang,58.6,14.1,86.37,37.04,0.37,43.97,D,Highest driver is access gap (86.4/100).,medium,decision_layer_real_context,0.02108,0.9044,160,6708.4,141.41,9540,5.6884,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570901,Mae Sai,36.9,82.9,0.41,14.21,0.31,34.04,E,Monitor and verify because confidence is low.,low,decision_layer_real_context,0.00563,0.9021,0,17893.1,829.39,13449,3.0065,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570906,Wiang Phang Kham,13.9,64.3,0.0,11.19,17.01,23.62,E,Monitor and verify because the priority score is low.,high,decision_layer_real_context,0.00328,0.5471,0,19532.1,643.37,15020,3.076,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570905,Si Mueang Chum,41.8,17.1,72.35,36.22,0.06,36.72,E,Monitor and verify because confidence is low.,low,decision_layer_real_context,0.00893,0.9069,10,7157.0,170.76,6060,3.3869,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570904,Pong Pha,22.9,21.3,0.18,14.31,8.4,15.22,E,Monitor and verify because the priority score is low.,medium,decision_layer_real_context,0.00243,0.7311,0,9311.6,213.35,12594,5.41,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570909,Pong Ngam,15.3,17.0,0.0,14.04,16.05,12.55,E,Monitor and verify because the priority score is low.,high,decision_layer_real_context,0.00313,0.5769,0,7248.7,170.01,8397,4.6336,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570908,Ban Dai,33.2,14.9,1.01,20.55,1.74,17.14,E,Monitor and verify because confidence is low.,low,decision_layer_real_context,0.00248,0.9161,0,5036.1,149.0,3450,2.7402,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
570902,Huai Khrai,15.7,20.1,0.0,8.43,19.22,12.92,E,Monitor and verify because the priority score is low.,medium,decision_layer_real_context,0.00241,0.6027,0,8911.5,200.87,7359,3.3032,over_expectation_review_needed,fpps_flood_anchor_v1,fpps_exposure_anchor_v1,Sentinel-1 RTC + Sentinel-2 + Copernicus DEM + DOPA/DWR/OSM/WorldPop (all real),2024-09-15T23:16:14.175289+00:00,"flood_likelihood is AI-derived (Sentinel-1 change detection fused with a terrain susceptibility prior) on absolute anchors, not normalised to the district maximum. exposure is WorldPop 2020 population density; OpenStreetMap building counts are reported as a diagnostic only because OSM coverage here is 0.9-5.1% of the population-implied expectation. Non-operational; not an official warning."
